ID,PandaDoc Requirement,LiveKit Implementation,Implementation Type,Complexity,Status,Dependencies,Notes
P1,Sarah character (friendly advisor),System instructions,Configuration,Simple,Ready,None,"Role definition, persona attributes"
P2,Business casual tone,System prompt examples,Configuration,Simple,Ready,Prompt tuning,"Style guidelines, formality level"
P3,2-3 sentence max responses,LLM temperature + system prompt,Configuration,Simple,Ready,LLM tuning,"max_tokens constraint, response guidance"
P4,150-170 WPM speaking speed,TTS speed/rate setting,Configuration,Simple,Ready,TTS provider,"Usually 1.0-1.1x speed setting"
P5,Active listening cues every 20-30s,System prompt examples,Configuration,Simple,Ready,Prompt examples,"Rotate mm-hmm, I see, got it, etc."
VP1,STT: Deepgram Nova-2 <200ms,stt="deepgram/nova-2:stream:en",Configuration,Simple,Ready,Deepgram provider,"Fallback: Whisper Large-v3"
VP2,TTS: ElevenLabs Rachel Turbo v2.5,tts="elevenlabs/rachel:turbo-v2.5",Configuration,Simple,Verify,"ElevenLabs provider","Format verification needed"
VP3,Total latency <700ms,preemptive_generation=True,Configuration,Medium,Ready,"Session config, tool timeouts","Includes VAD, STT, LLM, TTS"
VP4,VAD with 300ms threshold,Deepgram VAD balanced mode,Configuration,Simple,Ready,VAD provider,"Sensitivity tuning needed"
VP5,Fillers during tool execution,Tool response timing + prompt,Implementation,Medium,Ready,System prompt,"Strategic pausing in responses"
T1,unleash_search_knowledge,@function_tool decorator,Tool,Medium,Ready,"Mock KB data, async HTTP","500ms timeout, cached fallback"
T2,unleash_get_competitor_comparison,@function_tool decorator,Tool,Medium,Ready,"Mock competitor data, async HTTP","500ms timeout"
T3,chilipiper_check_availability,@function_tool decorator,Tool,Medium,Ready,"ChiliPiper API mock, sync call","200ms timeout"
T4,chilipiper_book_meeting,@function_tool decorator,Tool,Complex,Ready,"ChiliPiper API mock, disallow_interruptions","2s timeout, manual link fallback"
T5,calculate_pandadoc_roi,@function_tool decorator,Tool,Simple,Ready,None,"Pure math, no external API, 300ms max"
T6,webhook_send_conversation_event,@function_tool decorator,Tool,Simple,Ready,"Webhook URL, async logging","Fire-and-forget pattern"
T7,hubspot_send_resource,@function_tool decorator,Tool,Medium,Ready,"HubSpot API mock, async HTTP","3s timeout, text link fallback"
T8,pandadoc_api_get_trial_status,@function_tool decorator,Tool,Simple,Ready,"None (ask user in MVP)","200ms timeout, defer to user"
Q1,Detect 10+ seats for enterprise,calculate_pandadoc_roi parameter,Tool,Simple,Ready,None,"team_size parameter with validation"
Q2,Track document volume,Tool parameters,Tool,Simple,Ready,None,"documents_per_month parameter"
Q3,Identify integration needs,Tool parameters + discovery,Implementation,Medium,Ready,None,"integration_needs parameter"
